influencer,location,latitude,longitude,datetime
valentinaferragni,Visit Parco Sempione,45.474034,9.177606,2017-03-10T14:22:10.000Z
valentinaferragni,"Punta Chiappa, Monte Di Portofino (Ge)",44.322935,9.146432,2017-03-11T18:34:55.000Z
valentinaferragni,"Genova, Italy",44.40726,8.9338624,2017-03-13T19:00:51.000Z
valentinaferragni,Vitra Design Museum,47.6016608,7.61887739429026,2017-03-14T18:25:01.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-03-15T12:58:13.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-03-16T19:55:21.000Z
valentinaferragni,Copacabana Temakeria,45.477883,9.175401,2017-03-23T19:21:14.000Z
valentinaferragni,Università degli Studi di Genova - Facoltà di Medicina e Chirurgia,44.406996,8.967682,2017-03-27T11:21:25.000Z
valentinaferragni,"Tokyo, Japan",35.6828387,139.7594549,2017-03-29T09:05:45.000Z
valentinaferragni,Shinjuku Gyoen National Garden (新宿御苑 Shinjuku Gyoen),35.68507155,139.709548120791,2017-03-30T08:54:07.000Z
valentinaferragni,Shinjuku Gyoen,35.68507155,139.709548120791,2017-03-30T15:09:27.000Z
valentinaferragni,Mount Fuji,35.362799,138.730781,2017-03-31T05:36:40.000Z
valentinaferragni,東京都庁第一本庁舎北展望室 Tokyo Metropolitan Government Building North Observatory,35.689932,139.691704,2017-04-01T05:21:50.000Z
valentinaferragni,Meiji-Jingu Temple,35.676493,139.699326,2017-04-01T13:58:07.000Z
valentinaferragni,六拾番,36.143342,137.258814,2017-04-02T09:20:48.000Z
valentinaferragni,飛騨高山の古い町並,36.141902,137.259478,2017-04-02T13:03:12.000Z
valentinaferragni,白川郷(Shirakawa-go),36.2573454,136.9068317,2017-04-03T07:01:38.000Z
valentinaferragni,Kinkaku-ji,35.03952925,135.729537253093,2017-04-04T05:56:14.000Z
valentinaferragni,Tenryū-ji,-29.90349715,-71.2460790461207,2017-04-04T09:52:10.000Z
valentinaferragni,Arashiyama Bamboo Forest,35.0166401,135.671286513138,2017-04-04T15:40:58.000Z
valentinaferragni,"Kyoto, Japan",35.021041,135.7556075,2017-04-05T07:12:36.000Z
valentinaferragni,Nara Park,-35.2983116,149.1211695971,2017-04-05T15:15:42.000Z
valentinaferragni,Chidoriga-fuchi,35.693403,139.747812,2017-04-06T08:14:36.000Z
valentinaferragni,Harajuku,35.6687049,139.7053357,2017-04-06T15:00:59.000Z
valentinaferragni,Chidoriga-fuchi,35.693403,139.747812,2017-04-07T09:24:08.000Z
valentinaferragni,Park Hyatt Tokyo - パーク ハイアット 東京,35.6851358,139.6909607,2017-04-08T03:20:52.000Z
valentinaferragni,"Tokyo, Japan",35.6828387,139.7594549,2017-04-08T17:25:52.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-04-09T20:22:51.000Z
valentinaferragni,Magna Pars,45.4525437,9.1670327,2017-04-10T11:44:26.000Z
valentinaferragni,"Shibuya, Tokyo",35.6645956,139.6987107,2017-04-12T12:01:04.000Z
valentinaferragni,"Los Angeles, California",34.0536909,-118.2427666,2017-04-13T21:52:20.000Z
valentinaferragni,Coachella Valley,33.68656595,-116.153277495288,2017-04-14T16:34:44.000Z
valentinaferragni,Coachella,33.68656595,-116.153277495288,2017-04-15T07:02:31.000Z
valentinaferragni,Coachella Valley,33.68656595,-116.153277495288,2017-04-15T20:28:46.000Z
valentinaferragni,Coachella Music and Arts Festival,33.680895,-116.176593,2017-04-16T08:20:59.000Z
valentinaferragni,Coachella Valley,33.68656595,-116.153277495288,2017-04-16T21:47:09.000Z
valentinaferragni,Coachella,33.68656595,-116.153277495288,2017-04-17T07:55:05.000Z
valentinaferragni,"Cabazon, California",33.9090305,-116.779534450758,2017-04-17T19:29:18.000Z
valentinaferragni,Coachella Music and Arts Festival,33.680895,-116.176593,2017-04-18T16:39:53.000Z
valentinaferragni,"Los Angeles, California",34.0536909,-118.2427666,2017-04-18T23:47:38.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-04-19T17:28:10.000Z
valentinaferragni,Coachella Valley,33.68656595,-116.153277495288,2017-04-20T14:54:39.000Z
valentinaferragni,"Venezia, Italia",45.4371908,12.3345898,2017-04-21T11:28:43.000Z
valentinaferragni,Gas Store Venice Calle Del Lovo 4774-4775,45.436474,12.335545,2017-04-21T16:10:19.000Z
valentinaferragni,"Venezia, Italia",45.4371908,12.3345898,2017-04-21T20:54:03.000Z
valentinaferragni,Piazza San Marco Venezia,45.43427335,12.3385314306667,2017-04-22T09:34:42.000Z
valentinaferragni,Duomo di Milano - Milan Cathedral,45.46416835,9.19162110961411,2017-04-24T20:41:08.000Z
valentinaferragni,Arco della pace,45.47568115,9.17241040283427,2017-04-25T19:36:52.000Z
valentinaferragni,Coachella,33.68656595,-116.153277495288,2017-04-27T16:40:49.000Z
valentinaferragni,"Drogheria Milanese Via Conca del Naviglio, 7 Milano",45.457882,9.177866,2017-04-28T11:11:52.000Z
valentinaferragni,"Genova, Italy",44.40726,8.9338624,2017-04-30T17:47:13.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-05-03T16:18:10.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-05-04T18:38:17.000Z
valentinaferragni,Freccia Rossa,45.5366944,10.2080455,2017-05-06T08:10:31.000Z
valentinaferragni,"Venezia, Italia",45.4371908,12.3345898,2017-05-06T11:12:27.000Z
valentinaferragni,"Baglioni Hotel Luna, Venezia",45.4329343,12.3372705,2017-05-07T11:12:01.000Z
valentinaferragni,San Clemente Palace Kempinski Venice,45.411468,12.336208,2017-05-07T13:24:32.000Z
valentinaferragni,San Clemente Palace Kempinski Venice,45.411468,12.336208,2017-05-07T17:40:30.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-05-08T11:13:01.000Z
valentinaferragni,"Kyoto, Japan",35.021041,135.7556075,2017-05-10T11:14:32.000Z
valentinaferragni,Ceresio 7 - Gym & Spa,45.4828625,9.1869055,2017-05-10T18:41:43.000Z
valentinaferragni,Ceresio 7 - Gym & Spa,45.4828625,9.1869055,2017-05-16T19:33:12.000Z
valentinaferragni,"Genova, Italy",44.40726,8.9338624,2017-05-20T12:21:43.000Z
valentinaferragni,Aeroporto di Milano Malpensa,45.6296273,8.72354746896739,2017-05-24T08:18:46.000Z
valentinaferragni,"La Reunión Golf Resort & Residences, Antigua Guatemala",14.429042,-90.832944,2017-05-26T06:32:56.000Z
valentinaferragni,"Antigua Guatemala, Sacatepequez",14.5344588,-90.7176138176125,2017-05-26T16:41:24.000Z
valentinaferragni,"Antigua Guatemala, Sacatepequez",14.5344588,-90.7176138176125,2017-05-26T19:49:16.000Z
valentinaferragni,"Antigua Guatemala, Sacatepequez",14.5344588,-90.7176138176125,2017-05-27T06:26:03.000Z
valentinaferragni,"Antigua Guatemala, Sacatepequez",14.5344588,-90.7176138176125,2017-05-27T16:25:31.000Z
valentinaferragni,Antigua Guatemala.,14.5344588,-90.7176138176125,2017-05-27T19:01:09.000Z
valentinaferragni,"Panajachel, Solola",14.74713385,-91.1497081760939,2017-05-28T09:33:36.000Z
valentinaferragni,Santa Catarina Palopó,14.720385,-91.133528,2017-05-28T20:42:51.000Z
valentinaferragni,Santa Catarina Palopó,14.720385,-91.133528,2017-05-29T06:36:46.000Z
valentinaferragni,Lake Atitlán,14.692080,-91.202047,2017-05-29T15:50:54.000Z
valentinaferragni,"Guatemala City, Guatemala",14.6222328,-90.5185188,2017-05-30T05:21:30.000Z
valentinaferragni,Lake Atitlán,14.692080,-91.202047,2017-05-30T18:54:28.000Z
valentinaferragni,"Soho Beach House, Miami",25.8158857,-80.121900956342,2017-05-31T09:10:03.000Z
valentinaferragni,Wynwood Walls,25.8012267,-80.1951258,2017-05-31T18:16:48.000Z
valentinaferragni,"Miami Beach, Florida",25.7929198,-80.1353006,2017-06-01T15:04:25.000Z
valentinaferragni,"Miami South Beach, Florida USA",25.7953962,-80.1362313080544,2017-06-01T18:04:03.000Z
valentinaferragni,"Miami Beach, Florida",25.7929198,-80.1353006,2017-06-02T14:31:44.000Z
valentinaferragni,Quinto La Huella,-34.9263356,-57.9340468,2017-06-03T17:41:25.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-06-06T16:18:43.000Z
valentinaferragni,"Miami, Florida",25.7742658,-80.1936589,2017-06-04T08:59:44.000Z
valentinaferragni,"Wynwood Arts District, Miami, Florida",25.800645,-80.19908,2017-06-04T19:01:12.000Z
valentinaferragni,Ristorante Mimmo Milano,45.4561505,9.1873092,2017-06-07T21:56:51.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-06-08T08:07:42.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-06-09T12:49:18.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-06-09T16:11:54.000Z
valentinaferragni,LùBar,48.5091536,135.0757669,2017-06-14T15:59:56.000Z
valentinaferragni,Hôtel Barrière Le Majestic Cannes,43.551302,7.019316,2017-06-15T16:02:10.000Z
valentinaferragni,Saint-Jean-de-Cannes,43.52192875,6.86720716318236,2017-06-15T19:51:30.000Z
valentinaferragni,Hôtel Barrière Le Majestic Cannes,43.551302,7.019316,2017-06-16T10:48:07.000Z
valentinaferragni,Cannes,43.5515198,7.0134418,2017-06-16T13:45:44.000Z
valentinaferragni,Cannes,43.5515198,7.0134418,2017-06-16T15:40:06.000Z
valentinaferragni,Saint-Jean-de-Cannes,43.52192875,6.86720716318236,2017-06-16T18:31:15.000Z
valentinaferragni,Monza Eni Circuit,45.6206107,9.2814088,2017-06-17T19:43:37.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-06-19T12:41:45.000Z
valentinaferragni,Giardini pubblici Indro Montanelli,45.47458325,9.2003266111028,2017-06-20T16:58:53.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-06-21T19:41:28.000Z
valentinaferragni,Cannes,43.5515198,7.0134418,2017-06-23T08:50:24.000Z
valentinaferragni,Terroni,43.65093475,-79.3752998453654,2017-06-24T14:06:58.000Z
valentinaferragni,Peggy Sue's 50s Diner,34.90152515,-116.883420498952,2017-06-24T18:12:15.000Z
valentinaferragni,Peggy Sue's 50s Diner,34.90152515,-116.883420498952,2017-06-24T20:58:41.000Z
valentinaferragni,The Venetian Resort Las Vegas,36.183938,-115.320301,2017-06-25T08:14:05.000Z
valentinaferragni,The Venetian Resort Las Vegas,36.183938,-115.320301,2017-06-25T18:46:07.000Z
valentinaferragni,Bellagio Las Vegas,36.11311495,-115.177006452287,2017-06-25T22:18:38.000Z
valentinaferragni,Welcome to Fabulous Las Vegas sign,36.0820568,-115.172774091272,2017-06-26T08:55:09.000Z
valentinaferragni,Peggy Sue's 50s Diner,34.90152515,-116.883420498952,2017-06-26T17:55:42.000Z
valentinaferragni,Venice Beach,27.1000553,-82.4575967,2017-06-27T08:41:22.000Z
valentinaferragni,"Malibu, California",34.035591,-118.689423,2017-06-28T21:32:55.000Z
valentinaferragni,Stadio San Siro,45.47820035,9.12396399069145,2017-07-03T18:52:43.000Z
valentinaferragni,La Passeggiata di Nervi,44.3819528,9.036131,2017-07-07T18:39:18.000Z
valentinaferragni,Portofino,44.3036653,9.2093446,2017-07-09T18:33:56.000Z
valentinaferragni,Porticciolo di Nervi,44.3829023,9.032093,2017-07-10T10:57:22.000Z
valentinaferragni,Capo Nord Sml-Portofino,44.314545,9.212676,2017-07-10T19:24:58.000Z
valentinaferragni,Blue Marlin Nervi,44.3803029,9.0435553,2017-07-12T17:21:09.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-07-13T19:18:18.000Z
valentinaferragni,"Canaves Oia, Luxury Resorts and Villas, Santorini",36.462083,25.382397,2017-07-15T11:58:41.000Z
valentinaferragni,Santorini Greece,36.4044251,25.3958561,2017-07-15T16:13:15.000Z
valentinaferragni,"Oía, Kikladhes, Greece",36.461453,25.375324,2017-07-15T18:01:53.000Z
valentinaferragni,Santorini Greece,36.4044251,25.3958561,2017-07-16T10:35:30.000Z
valentinaferragni,Santorini Greece,36.4044251,25.3958561,2017-07-16T14:05:19.000Z
valentinaferragni,"Canaves Oia, Luxury Resorts and Villas, Santorini",36.462083,25.382397,2017-07-16T19:48:53.000Z
valentinaferragni,Santorini Greece,36.4044251,25.3958561,2017-07-17T13:50:39.000Z
valentinaferragni,Santorini,36.4044251,25.3958561,2017-07-17T17:09:12.000Z
valentinaferragni,Red Beach Santorini Μιχάλης,36.3473294,25.3947802,2017-07-18T11:35:29.000Z
valentinaferragni,Santorini Greece,36.4044251,25.3958561,2017-07-17T19:12:29.000Z
valentinaferragni,Santorini Greece,36.4044251,25.3958561,2017-07-18T14:25:12.000Z
valentinaferragni,Oia,42.0010005,-8.8753311,2017-07-18T17:58:12.000Z
valentinaferragni,Santorini Greece,36.4044251,25.3958561,2017-07-19T12:26:42.000Z
valentinaferragni,"Canaves Oia, Luxury Resorts and Villas, Santorini",36.462083,25.382397,2017-07-19T16:45:42.000Z
valentinaferragni,"San Fruttuoso, Liguria, Italy",44.4079697,8.9611438,2017-07-22T20:00:42.000Z
valentinaferragni,Macha Café,45.452386,9.183238,2017-07-24T10:46:17.000Z
valentinaferragni,Amanzoe,37.36976855,23.1103301000966,2017-07-25T19:16:05.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-07-26T16:44:22.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-07-28T18:07:44.000Z
valentinaferragni,"Genova, Italy",44.40726,8.9338624,2017-07-31T20:53:50.000Z
valentinaferragni,"Milan, Italy",45.4667971,9.1904984,2017-08-02T11:24:33.000Z
valentinaferragni,Vulcano,42.2504856,-8.7039614604503,2017-08-05T18:59:39.000Z
valentinaferragni,"Salina Isola, Sicilia, Italy",38.55904115,14.8358906071563,2017-08-06T18:01:07.000Z
valentinaferragni,Therasia Resort,38.4308042,14.9571751,2017-08-07T09:08:56.000Z
valentinaferragni,Stromboli,38.79179625,15.2111752495449,2017-08-08T13:58:19.000Z
valentinaferragni,Stromboli volcano,38.7920733,15.2150086,2017-08-09T12:31:37.000Z
valentinaferragni,Raya Panarea,38.635589,15.074235,2017-08-09T17:20:55.000Z
valentinaferragni,Stromboli volcano,38.7920733,15.2150086,2017-08-09T19:51:52.000Z
valentinaferragni,Stromboli,38.79179625,15.2111752495449,2017-08-10T08:55:48.000Z
valentinaferragni,Teatro Greco Taormina,37.85237085,15.2922707670037,2017-08-11T11:52:59.000Z
valentinaferragni,Isola Bella-Taormina,37.8501567,15.3006908,2017-08-11T19:03:14.000Z
valentinaferragni,BamBar Taormina,37.853218,15.288903,2017-08-12T11:07:50.000Z
valentinaferragni,Taormina centro,37.8517921,15.2856523,2017-08-12T13:33:02.000Z
valentinaferragni,Baia del silenzio Sestri levante,44.2684986,9.3938126,2017-08-15T18:43:01.000Z
valentinaferragni,"Sicilia, Italy",37.587794,14.155048,2017-08-16T16:52:08.000Z
valentinaferragni,Camillo Benso di Fresco&Cimmino,45.472388,9.195552,2017-08-16T19:41:28.000Z
valentinaferragni,Düsseldorf Airport,51.287608,6.766738,2017-08-17T08:44:08.000Z
valentinaferragni,"Los Angeles, California",34.0536909,-118.2427666,2017-08-19T06:32:23.000Z
valentinaferragni,"Los Angeles, California",34.0536909,-118.2427666,2017-08-19T17:56:59.000Z
